ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_DataElementValueUniqueName;dhis_DataElementValueUniqueId
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;1;Code ASBC;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;orgUnitCode;;30.1.Code ASBC;tJEGAbo90wB;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;2;code personne;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.2.Code personne;JYoSCoz2VRf;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;3;Age personne;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.44.Age en annees;OA9Df9MHvrw;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;4;Date de visite;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;eventDate;30.47.Date de visite;oQBBWyEiKl6;;;;;30.47.Date de visite;oQBBWyEiKl6
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;5;Date de début de la grossesse estimée par le CSPS;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.56.Date de début de la grossesse estimée par le CSPS;NdCKHuabxuy;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;6;Nombre de semaines de grossesse estimée par le CSPS;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.57.Nombre de semaines de grossesse estimée par le CSPS;H7TO08Sk4Um;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;7;Etes-vous allée au SPN après la dernière visite?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.58.Etes-vous allée au SPN après la dernière visite?;L9FwvDey8xl;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;8;La femme a-t-elle des saignements ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.59.La femme a-t-elle des saignements ?;IjKUXkTasdS;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;9;La femme a-t-elle une fievre et des frissions ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.60.La femme a-t-elle une fievre et des frissions ?;swuarpffztN;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;10;La femme a-t-elle des maux de tete ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.61.La femme a-t-elle des maux de tete ?;ZOXgsEasDOQ;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;11;La femme a-t-elle des convulsions ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.62.La femme a-t-elle des convulsions ?;Jm8R5RhTt5l;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;12;La femme a-t-elle des douleurs pelviennes ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.63.La femme a-t-elle des douleurs pelviennes ?;UCVSlTno5VG;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;13;Quantité de fer acide follique distribuée;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.64.Quantité de fer acide follique distribuée;fX6kmt9LO90;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;14;Distribution de TPI;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.65.Distribution de TPI;rZmtcxLDfWW;;;;;;
5;180d137d-378e-4fb5-932c-4bee3ef9495b;GROSSESSE SUIVI;grosssuivi;15;Code operation;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;Code Opération;QEpj5yfYAej;;;;;;
