ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_DataElementValueUniqueName;dhis_DataElementValueUniqueId
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;1;Code ASBC;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;orgUnitCode;;Code ASBC;tJEGAbo90wB;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;2;code personne;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;3;code Prise en charge;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;30.3.Code de prise en charge;kvQS9gw12Rn
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;4;age en années;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;age en années;OA9Df9MHvrw;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;5;Date de prise en charge;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;eventDate;30.4.Date de prise en charge;I07qAGL6kfH;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;6;Toux / difficulté respiratoire;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.5.Motif Toux;lUHn2jpd3YU;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;7;Fièvre / Corps chaud;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.6.Motif - Fièvre;V8hnF1mIa2U;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;8;Diarrhée;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.7.Motif - Diarrhée;UHrCBdjL1WR;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;9;Autre motif de consultation;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.8.Motif - Autre motif;NlhwuPPU6cW;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;10;Fièvre dans les 72H;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.38.Fievre dans les 72H;VtJp7wRer0Q;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;11;Présence du traitement du paludisme;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.40.Traitement palu;AtLMU1QCtkD;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;12;Réalisation de TDR;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.28.Result TDR Palu;rdqOgNEbNdl;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;13;Nombre de TDR utilisés;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.29.Nb TDR Palu;lLpmEDjjj3Z;;;;;;
2;3d553fd3-7a5d-4581-acaf-0bd92aaa9cb8;PRISE EN CHARGE ADULTE;pecadu;14;Présence de Signe de gravité;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.41.Presence signe de gravite;qhFpE8Rr8aR;;;;;;
